Latitude,Longitude,,(Original Latitude)
-12.73814167,-6.514791667,,12.73814167
-6.535763889,-7.08375,,6.535763889
-9.759313889,-8.217708333,,9.759313889
-6.651252778,-6.575458333,,6.651252778
-10.88389722,-5.654291667,,10.88389722
-6.743963889,-5.826208333,,6.743963889
-10.52461111,-2.847166667,,10.52461111
-8.754638889,-7.217041667,,8.754638889
-10.546175,-10.90533333,,10.546175
-10.60286667,-7.098625,,10.60286667
-9.320830556,-5.840125,,9.320830556
-8.186861111,-7.957416667,,8.186861111
0.113588889,-10.99904167,,-0.113588889
-0.023822222,-10.91304167,,0.023822222
-0.024425,-11.057375,,0.024425
0.493125,-10.94170833,,-0.493125
0.059691667,-10.78433333,,-0.059691667
0.154025,-10.816875,,-0.154025
0.343241667,-10.9445,,-0.343241667
0.092780556,-10.844875,,-0.092780556
0.032808333,-10.90270833,,-0.032808333
0.121269444,-10.58354167,,-0.121269444
0.086363889,-10.8785,,-0.086363889
0.203269444,-10.68575,,-0.203269444
-0.189838889,-10.74366667,,0.189838889
0.023816667,-11.14725,,-0.023816667
0.054433333,-10.5375,,-0.054433333
0.011780556,-10.66158333,,-0.011780556
-0.102169444,-10.71683333,,0.102169444
0.020611111,-10.82608333,,-0.020611111
-0.228438889,-10.98104167,,0.228438889
-0.038755556,-10.6065,,0.038755556
0.164722222,-10.91154167,,-0.164722222
0.036030556,-10.62858333,,-0.036030556
0.470213889,-10.96658333,,-0.470213889
0.102672222,-10.847625,,-0.102672222
0.095413889,-10.88741667,,-0.095413889
-0.104933333,-10.87770833,,0.104933333
-0.098308333,-10.77341667,,0.098308333
0.357983333,-11.01733333,,-0.357983333
0.087766667,-10.90391667,,-0.087766667
0.133172222,-10.81358333,,-0.133172222
-0.690444444,-12.28670833,,0.690444444
-0.65985,-12.32683333,,0.65985
-0.691427778,-12.30425,,0.691427778
-0.674108333,-12.28625,,0.674108333
-0.759372222,-12.37033333,,0.759372222
-0.656669444,-12.31929167,,0.656669444
-0.769341667,-12.33595833,,0.769341667
-0.7318,-12.31070833,,0.7318
-0.737833333,-12.26116667,,0.737833333
-0.752955556,-12.29254167,,0.752955556
-0.764413889,-12.35904167,,0.764413889
-0.734225,-12.32229167,,0.734225
-0.737491667,-12.34145833,,0.737491667
-0.748975,-12.30233333,,0.748975
2.685669444,-13.33145833,,-2.685669444
2.634477778,-13.32058333,,-2.634477778
2.607305556,-13.30225,,-2.607305556
2.660016667,-13.319125,,-2.660016667
2.642308333,-13.340125,,-2.642308333
2.605941667,-13.32225,,-2.605941667
2.631783333,-13.28470833,,-2.631783333
2.632027778,-13.34845833,,-2.632027778
-42.74751111,-7.635583333,,42.74751111
-42.80974444,-8.455375,,42.80974444
-43.21076667,-7.5565,,43.21076667
-43.03496667,-7.39625,,43.03496667
-42.57089167,-8.548416667,,42.57089167
-43.14768333,-7.589166667,,43.14768333
-42.94687222,-8.058583333,,42.94687222
